datetime,AREXQ,WLL,cash,commission,total,returns,equity_curve,drawdown
2013-12-18 00:00:00,1879.0001,-2664.1999670000005,100444.479989,2.6,99659.280122,-0.0004485270798603169,0.99659280122,0.004199998999999899
2013-12-19 00:00:00,1910.0000000000002,-2704.239956,100444.479989,2.6,99650.240033,-9.070995685434013e-05,0.99650240033,0.004290399889999907
2013-12-20 00:00:00,1909.0,-2709.0799890000003,100444.479989,2.6,99644.4,-5.8605307905579274e-05,0.996444,0.004348800219999949
2013-12-23 00:00:00,1898.9999999999998,-2672.1199779999997,100444.479989,2.6,99671.360011,0.0002705622292873411,0.99671360011,0.004079200109999959
2013-12-24 00:00:00,1912.9998999999998,-2672.1199779999997,100444.479989,2.6,99685.35991099999,0.0001404606097323846,0.99685359911,0.003939201109999901
2013-12-26 00:00:00,1900.0,-2693.239956,100444.479989,2.6,99651.240033,-0.00034227571661937795,0.9965124003300001,0.004280399889999842
2013-12-27 00:00:00,1941.0,-2717.8800220000003,100444.479989,2.6,99667.599967,0.00016417190588491337,0.9966759996700002,0.004116800549999744
2013-12-30 00:00:00,1920.0001,-2663.760044,100444.479989,2.6,99700.72004500001,0.0003323053631367756,0.9970072004500002,0.0037855997699997035
2013-12-31 00:00:00,1929.9999,-2722.279956,100444.479989,2.6,99652.199933,-0.000486657588612327,0.9965219993300001,0.004270800889999871
2014-01-02 00:00:00,1879.9999,-2618.8800220000003,100444.479989,2.6,99705.599867,0.0005358630721239432,0.9970559986700002,0.0037368015499997798
2014-01-03 00:00:00,1891.0,-2598.1999670000005,100444.479989,2.6,99737.28002199999,0.0003177369680564812,0.9973728002200001,0.0034199999999998676
2014-01-06 00:00:00,1851.0000000000002,-2593.8000329999995,100444.479989,2.6,99701.679956,-0.00035693840850814507,0.9970167995600002,0.003776000659999723
2014-01-07 00:00:00,1862.0001000000002,-2608.760044,100444.479989,2.6,99697.72004500001,-3.971759554854959e-05,0.9969772004500002,0.003815599769999789
2014-01-08 00:00:00,1920.9999,-2599.9600109999997,100444.479989,2.6,99765.51987799999,0.0006800539969156194,0.99765519878,0.0031376014399999708
2014-01-09 00:00:00,1939.9999999999998,-2563.8800220000003,100444.479989,2.6,99820.599967,0.0005520954440709769,0.9982059996700001,0.0025868005499998237
